Learning Rate,Num Dense Layers,Num Dense Nodes,Activation,Initialization,W_domain,W_bc0,W_bc1,W_ic,Error,Time Spent
1.2774471609203795e-05,8,16,tanh,Glorot uniform,127,238,197,182,71.75840799474715,103.40297555923462
1.2800338437533758e-05,8,7,swish,Glorot uniform,140,239,131,182,17.257581324530243,125.4021520614624
1.6013666863017536e-05,8,7,tanh,Glorot uniform,130,239,198,182,8.048956461326503,97.4496078491211
1.2774471609203795e-05,8,7,sin,Glorot uniform,178,234,198,182,14.60116677191303,102.23374462127686
0.1443352261644632,8,7,elu,Glorot uniform,221,233,198,182,45.293433145783666,107.19443440437317
0.21786004602976586,8,7,relu,Glorot uniform,250,236,168,182,45.201633366650576,80.37518572807312
0.012001401157904977,8,7,relu,Glorot uniform,172,231,198,182,123.7455199073991,80.39002919197083
0.12729353737540583,8,7,elu,Glorot uniform,0,229,198,182,45.29825547564691,107.27362823486328
0.01137705817490066,5,233,elu,Glorot uniform,103,157,186,121,73.00528888865394,103.47162127494812
0.017282387052583906,8,33,silu,Glorot uniform,0,233,28,177,42.58306956938389,130.10918474197388
0.05891421697860646,8,7,elu,Glorot uniform,0,230,198,156,45.325890191054974,107.31872630119324
0.12857913912905125,8,7,sigmoid,Glorot uniform,61,227,198,110,45.384059104255705,99.04484152793884
0.04826890458631135,8,7,sin,Glorot uniform,0,230,198,0,106.77965571620368,102.17065119743347
0.21788060459464648,8,7,sigmoid,Glorot uniform,0,224,198,0,45.516272921588296,99.0947163105011
0.0009783545178908943,8,7,elu,Glorot uniform,0,222,131,0,20.792977338681712,107.21602201461792
1.2774471609203795e-05,8,7,elu,Glorot uniform,79,226,0,0,51.62839274155958,107.12301445007324
1.3195603885518451e-05,8,7,elu,Glorot uniform,19,226,124,0,34.42709909339719,107.20635318756104
0.00018549511634001668,8,7,elu,Glorot uniform,0,219,155,0,15.595913657622404,107.10340905189514
1.360982708725416e-05,8,7,elu,Glorot uniform,4,223,126,22,34.60632671978472,107.30981469154358
1.2774471609203795e-05,8,7,elu,Glorot uniform,0,215,179,51,41.29340558991023,107.32203197479248
2.630054294365196e-05,8,10,sigmoid,Glorot uniform,1,219,196,169,24.92853549662066,101.94199538230896
1.2774471609203795e-05,8,7,elu,Glorot uniform,125,212,198,89,13.947452645396313,107.27129077911377
1.2774471609203795e-05,8,7,elu,Glorot uniform,250,216,198,146,10.958147218331954,107.23549032211304
1.2774471609203795e-05,8,7,elu,Glorot uniform,235,209,198,18,21.309918720967108,107.26801204681396
